#Photometry obtained for mwc 275: RA=17 56 21.2882, Dec=-21 57 21.872, cone search radius=10s
lam band lamFlam e_lamFlam f_lamFlam u_lamFlam beam obsDate ref
m -- W/m^2 W/m^2 -- -- arcsec -- --
2.18e-06 Johnson:K 1.2408084968067675e-11 nan -- 0.7 unknown 2017A&A...599A..85L
5.5e-07 Johnson:V 3.568060885391006e-11 nan -- 0.3 unknown 2002yCat.2237....0D
3.6e-07 Johnson:U 1.3576734428991621e-11 nan -- 0.2 unknown 2002yCat.2237....0D
4.4e-07 Johnson:B 1.4706944941392926e-11 nan -- 0.2 unknown 2002yCat.2237....0D
3.6e-07 Johnson:U 2.4032299237454637e-11 nan -- 0.09 unknown 1992ApJ...397..613H
4.4e-07 Johnson:B 4.65074434374932e-11 nan -- 0.11 unknown 1992ApJ...397..613H
5.5e-07 Johnson:V 3.6343960899120225e-11 nan -- 0.14 unknown 1992ApJ...397..613H
7.1e-07 Cousins:Rc 2.5474934187219034e-11 nan -- 0.18 unknown 1992ApJ...397..613H
7.9e-07 Cousins:Ic 1.893682472094219e-11 nan -- 0.2 unknown 1992ApJ...397..613H
1.25e-06 Johnson:J 1.2149913937422624e-11 nan -- 0.05 unknown 1992ApJ...397..613H
1.6e-06 Johnson:H 1.1194948345727605e-11 nan -- 0.07 unknown 1992ApJ...397..613H
2.18e-06 Johnson:K 1.121255945129596e-11 nan -- 0.09 unknown 1992ApJ...397..613H
3.54e-06 Johnson:L 9.620772135473592e-12 nan -- 0.15 unknown 1992ApJ...397..613H
4.8e-06 Johnson:M 5.9433100479559604e-12 nan -- 0.2 unknown 1992ApJ...397..613H
0.0013 CSO:F1300 1.7526328313846155e-15 nan -- 28.0 unknown 1992ApJ...397..613H
1.23e-06 ESO:J 1.2250890093284558e-11 nan -- 0.3 1989Apr 1992ApJ...398..254B
1.63e-06 ESO:H 1.203087717736639e-11 nan -- 0.4 1989Apr 1992ApJ...398..254B
2.19e-06 ESO:K 1.1568838791982205e-11 nan -- 0.6 1989Apr 1992ApJ...398..254B
3.79e-06 ESO:L 7.872660106046056e-12 nan -- 0.9 1989Apr 1992ApJ...398..254B
4.64e-06 ESO:M 6.044227062713873e-12 nan -- 1.2 1989Apr 1992ApJ...398..254B
9.69e-06 ESO:N2 5.7518035212297045e-12 nan -- 2.4 1989Apr 1992ApJ...398..254B
8.38e-06 ESO:N1 4.667729126482196e-12 nan -- 2.1 1989Apr 1992ApJ...398..254B
1.289e-05 ESO:N3 2.541171709407133e-12 nan -- 3.2 1989Apr 1992ApJ...398..254B
